Organism	BDEG_20379	BDEG_22774	BDEG_22775	BDEG_25898	BDEG_27285	BDEG_23209	BDEG_23332	BDEG_27858	BDEG_27864	BDEG_23888	BDEG_24855	BDEG_24892	BDEG_25147	BDEG_28447	BDEG_20405	BDEG_25536	BDEG_22285
02.OZ	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1
03.OZ	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1
06.OZ	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
710.1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1
711.1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1
739	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1
07.OZ	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1
08MG02	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1
08MG05	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
09.OZ	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1
11.OZ	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
12.OZ	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1
13.OZ	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
14.OZ	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1
15.OZ	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
16.OZ	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1
18.OZ	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
20.OZ	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1
22.OZ	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1
23.OZ	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1
24.OZ	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1
25.OZ	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
28.OZ	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
30.OZ	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1
33.OZ	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
34.OZ	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
35.OZ	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
36.OZ	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
37.OZ	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1
38.OZ	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
39.OZ	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1
40.OZ	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1
41.OZ	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
42.OZ	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1
43.OZ	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
44.OZ	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1
45.OZ	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1
46.OZ	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
