Loci	CAPE	BRAZIL	ASIA	GPL
BDEG_20379	1	1	1	0.9
BDEG_22774	1	1	1	0.996296296
BDEG_22775	1	1	1	0.992592593
09.OZ_003162	0.055555556	0	0	0.122222222
02.OZ_003076	0	0.037037037	0	0.02962963
11.OZ_002774	1	1	1	0.97037037
BDEG_25898	0.055555556	0.037037037	0.142857143	0.155555556
02.OZ_004309	0.666666667	0.185185185	0.285714286	0.385185185
BDEG_27285	1	0.962962963	1	0.988888889
02.OZ_005874	0	0.037037037	0	0.018518519
11.OZ_004862	0.222222222	0.37037037	0	0.255555556
BDEG_23209	0.555555556	0.555555556	0.142857143	0.562962963
11.OZ_007038	0	0	0	0.022222222
36.OZ_001712	0.111111111	0.111111111	0.142857143	0.325925926
BDEG_23332	1	1	1	0.996296296
BDEG_27850	0	0.037037037	0	0.003703704
03.OZ_003608	0.888888889	0.851851852	0.571428571	0.892592593
03.OZ_002767	0.166666667	0.111111111	0.142857143	0.185185185
BDEG_27858	0.111111111	0.074074074	0.142857143	0.511111111
12.OZ_006060	0.166666667	0.148148148	0.285714286	0.059259259
BDEG_27864	0.944444444	1	0.857142857	0.588888889
38.OZ_006340	0.888888889	0.740740741	0.428571429	0.418518519
BDEG_23888	0	0.814814815	0	0.566666667
06.OZ_002034	0.055555556	0.222222222	0.285714286	0.459259259
13.OZ_006875	0	0	0	0.003703704
14.OZ_007069	0	0	0	0.051851852
BDEG_27923	0	0	0	0.003703704
BDEG_24855	1	1	1	0.988888889
06.OZ_005347	0.444444444	0.444444444	0.142857143	0.27037037
18.OZ_001716	0.055555556	0.185185185	0.285714286	0.196296296
BDEG_24892	0.055555556	0.37037037	0.142857143	0.22962963
0711.1_005485	0.111111111	0.037037037	0	0.037037037
18.OZ_005506	0.166666667	0.407407407	0.142857143	0.137037037
BDEG_25147	0.944444444	1	1	0.992592593
BDEG_28447	1	1	1	0.925925926
BDEG_25168	0	0	0	0.003703704
22.OZ_002826	0	0	0	0.062962963
BDEG_20405	1	0.925925926	1	0.888888889
24.OZ_002846	0	0.037037037	0	0.048148148
BDEG_25536	0.888888889	0.740740741	0.428571429	0.407407407
25.OZ_002430	0	0	0	0.014814815
BDEG_22285	1	0.777777778	0.571428571	0.888888889
BDEG_21659	0	0	0	0
BDEG_23049	0	0	0	0
BDEG_23812	0	0	0	0
BDEG_23816	0	0	0	0
BDEG_24460	0	0	0	0
BDEG_24587	0	0	0	0
BDEG_25206	0	0	0	0
BDEG_25875	0	0	0	0
BDEG_25883	0	0	0	0
BDEG_27471	0	0	0	0
BDEG_27916	0	0	0	0
BDEG_27920	0	0	0	0
BDEG_27937	0	0	0	0
BDEG_28290	0	0	0	0
BDEG_28609	0	0	0	0
