M36	Species
BDEG_20379	Batrachochytrium dendrobatidis
BDEG_22774	Batrachochytrium dendrobatidis
BDEG_22775	Batrachochytrium dendrobatidis
09.OZ_003162	Batrachochytrium dendrobatidis
02.OZ_003076	Batrachochytrium dendrobatidis
11.OZ_002774	Batrachochytrium dendrobatidis
BDEG_25898	Batrachochytrium dendrobatidis
02.OZ_004309	Batrachochytrium dendrobatidis
BDEG_27285	Batrachochytrium dendrobatidis
02.OZ_005874	Batrachochytrium dendrobatidis
11.OZ_004862	Batrachochytrium dendrobatidis
BDEG_23209	Batrachochytrium dendrobatidis
11.OZ_007038	Batrachochytrium dendrobatidis
36.OZ_001712	Batrachochytrium dendrobatidis
BDEG_23332	Batrachochytrium dendrobatidis
BDEG_27850	Batrachochytrium dendrobatidis
03.OZ_003608	Batrachochytrium dendrobatidis
03.OZ_002767	Batrachochytrium dendrobatidis
BDEG_27858	Batrachochytrium dendrobatidis
12.OZ_006060	Batrachochytrium dendrobatidis
BDEG_27864	Batrachochytrium dendrobatidis
38.OZ_006340	Batrachochytrium dendrobatidis
BDEG_23888	Batrachochytrium dendrobatidis
06.OZ_002034	Batrachochytrium dendrobatidis
13.OZ_006875	Batrachochytrium dendrobatidis
14.OZ_007069	Batrachochytrium dendrobatidis
BDEG_27923	Batrachochytrium dendrobatidis
BDEG_24855	Batrachochytrium dendrobatidis
06.OZ_005347	Batrachochytrium dendrobatidis
18.OZ_001716	Batrachochytrium dendrobatidis
BDEG_24892	Batrachochytrium dendrobatidis
0711.1_005485	Batrachochytrium dendrobatidis
18.OZ_005506	Batrachochytrium dendrobatidis
BDEG_25147	Batrachochytrium dendrobatidis
BDEG_28447	Batrachochytrium dendrobatidis
BDEG_25168	Batrachochytrium dendrobatidis
22.OZ_002826	Batrachochytrium dendrobatidis
BDEG_20405	Batrachochytrium dendrobatidis
24.OZ_002846	Batrachochytrium dendrobatidis
BDEG_25536	Batrachochytrium dendrobatidis
25.OZ_002430	Batrachochytrium dendrobatidis
BDEG_22285	Batrachochytrium dendrobatidis
BDEG_21659	Batrachochytrium dendrobatidis
BDEG_23049	Batrachochytrium dendrobatidis
BDEG_23812	Batrachochytrium dendrobatidis
BDEG_23816	Batrachochytrium dendrobatidis
BDEG_24460	Batrachochytrium dendrobatidis
BDEG_24587	Batrachochytrium dendrobatidis
BDEG_25206	Batrachochytrium dendrobatidis
BDEG_25875	Batrachochytrium dendrobatidis
BDEG_25883	Batrachochytrium dendrobatidis
BDEG_27471	Batrachochytrium dendrobatidis
BDEG_27916	Batrachochytrium dendrobatidis
BDEG_27920	Batrachochytrium dendrobatidis
BDEG_27937	Batrachochytrium dendrobatidis
BDEG_28290	Batrachochytrium dendrobatidis
BDEG_28609	Batrachochytrium dendrobatidis
Hompol1|Hompol1_3209	Homolaphlyctis polyrhiza
Hompol1|Hompol1_3650	Homolaphlyctis polyrhiza
Hompol1|Hompol1_414	Homolaphlyctis polyrhiza
HK105|HK105_002919	JEL0888
HK105|HK105_003010	JEL0888
HK105|HK105_003011	JEL0888
HK105|HK105_003186	JEL0888
HK105|HK105_003549	JEL0888
HK105|HK105_003661	JEL0888
HK105|HK105_004430	JEL0888
HK105|HK105_005545	JEL0888
HK105|HK105_005877	JEL0888
HK105|HK105_007167	JEL0888
HK105|HK105_007274	JEL0888
HK105|HK105_007520	JEL0888
HK105|HK105_007950	JEL0888
